host|as|anchor_pattern
analyticshaven.top|0|Website Stats scraper
metamagic.top|0|Website Stats scraper
dailymusings.top|0|Website Stats scraper
creativeposts.top|0|Website Stats scraper
optimizeflow.top|0|Website Stats scraper
ready.pro|0|Website Stats scraper
atomizelink.icu|0|Domain Report scraper
drjack.world|0|Domain Report scraper
byteshort.xyz|0|Domain Report scraper
bye.fyi|0|Domain Report scraper
screenshots.wiki|0|Domain Report scraper
backlinks-checker.com|0|URL Shared scraper
buzzshrink.website|0|URL Shared scraper
websites.freemyip.com|0|URL Shared scraper
urls-shortener.eu|0|URL Shared scraper
sites.jake.eu|0|URL Shared scraper
shortenurls.eu|0|URL Shared scraper
factmags.com|0|Directory Pages Index
goooogla.com|0|Directory Pages Index
newwebsiteslist.com|0|Top Domains listing spam
domains.com.bz|0|Top Domains listing spam
mediaboooster.com|0|no anchor, content farm
mail.wallpapers.pro|0|aged domains and backlinks
mail.read.org.in|0|aged domains and backlinks
mail.linksnatcher.com|0|aged domains and backlinks
mail.indians.cc|0|aged domains and backlinks
mail.globalecommerce.org|0|aged domains and backlinks
mail.getwebsiteworth.com|0|aged domains and backlinks
mail.egyptiandirectory.com|0|aged domains and backlinks
mail.domainsc.com|0|aged domains and backlinks
mail.domainanalysis.org|0|aged domains and backlinks
mail.domain.com.lc|0|aged domains and backlinks
mail.bestwebstats.com|0|aged domains and backlinks
mail.australianwebdirectory.shop|0|aged domains and backlinks
mail.allwebsitesdirectory.com|0|aged domains and backlinks
